d%,Bacchetta non comune,Prezzo,Fonte
01,Guscio Antivegetali,21.000 mo,Manuale di Gioco
02-04,Occhio Arcano,21.000 mo,Manuale di Gioco
05-07,Aspetto del Cervo,21.000 mo,Guida del Giocatore
08-11,Fulmine Globulare,21.000 mo,Guida del Giocatore
12,Inaridire,21.000 mo,Manuale di Gioco
13,Comandare Vegetali,21.000 mo,Manuale di Gioco
14-15,Controllare Acqua,21.000 mo,Manuale di Gioco
16-18,Scurovisione Superiore,21.000 mo,Guida alla Magia
19,Individuazione dello Scrutamento,21.000 mo,Manuale di Gioco
20,Rivela Bugie,21.000 mo,Manuale di Gioco
21-24,Soffio del Drago,21.000 mo,Guida del Giocatore
25-28,Vita Falsata Superiore,21.000 mo,Guida alla Magia
29-30,Costrizione Inferiore,21.000 mo,Manuale di Gioco
31-34,Lupo Fantasma,21.000 mo,Guida alle Razze
35-36,Parassiti Giganti,21.000 mo,Manuale di Gioco
37,Terreno Illusorio,21.000 mo,Manuale di Gioco
38,Muro Illusorio,21.000 mo,Manuale di Gioco
39-40,Localizza Creatura,21.000 mo,Manuale di Gioco
41-42,Creazione Minore,21.000 mo,Manuale di Gioco
43,Potenziatore Mnemonico,21.000 mo,Manuale di Gioco
44-46,Flusso di Ossidiana,21.000 mo,Guida al Combattimento
47-48,Trama Iridescente,21.000 mo,Manuale di Gioco
49-50,Ridurre Persone di Massa,21.000 mo,Manuale di Gioco
51-53,Reincarnazione,21.000 mo,Manuale di Gioco
54,Respingere Parassiti,21.000 mo,Manuale di Gioco
55-56,Cavalcare le Onde,21.000 mo,Guida alla Magia
57-59,Stretta Corrosiva,21.000 mo,Manuale di Gioco
60,Riparo Sicuro,21.000 mo,Manuale di Gioco
61-63,Ombra di una Evocazione,21.000 mo,Manuale di Gioco
64-67,Passo nell'Ombra,21.000 mo,Guida alla Magia
68-70,Immagine Scioccante,21.000 mo,Guida al Combattimento
71-74,Rocce Aguzze,21.000 mo,Manuale di Gioco
75-76,Tempesta Vulcanica,21.000 mo,Guida alla Magia
77-79,Stelle Vagabonde,21.000 mo,Guida del Giocatore
80,Crescita Animale,30.000 mo,Manuale di Gioco
81-82,Comunione con la Natura,30.000 mo,Manuale di Gioco
83,Dissolvi il Caos,30.000 mo,Manuale di Gioco
84,Dissolvi il Male,30.000 mo,Manuale di Gioco
85-87,Dominare Persone,30.000 mo,Manuale di Gioco
88-91,Blocca Mostri,30.000 mo,Manuale di Gioco
92-94,Spada Sacra,30.000 mo,Manuale di Gioco
95,Sigillo di Giustizia,30.000 mo,Manuale di Gioco
96-97,Modificare Memoria,30.000 mo,Manuale di Gioco
98,Traslazione Arborea,30.000 mo,Manuale di Gioco
99,Zona di Silenzio,30.000 mo,Manuale di Gioco
100,Conoscenza delle Leggende,33.500 mo,Manuale di Gioco
