d%,Oggetto Minore Inferiore,Prezzo,Peso,Fonte,Unnamed: 5,Unnamed: 6
-,Talismano Minore dei Venti Benefici,Oggetto Minore Inferiore Slot Collo,Collo,50 mo,"0,5 kg",Avventure Occulte
-,Talismano Minore del Coraggio del Combattente,Oggetto Minore Inferiore Slot Collo,Collo,450 mo,"0,5 kg",Avventure Occulte
-,Talismano Minore delle Evocazioni Sigillate,Oggetto Minore Inferiore Slot Collo,Collo,450 mo,"0,5 kg",Avventure Occulte
-,Talismano Superiore dei Venti Benefici,Oggetto Minore Inferiore Slot Collo,Collo,500 mo,"0,5 kg",Avventure Occulte
-,Talismano Minore della Percezione del Pericolo,Oggetto Minore Inferiore Slot Collo,Collo,750 mo,"0,5 kg",Avventure Occulte
01-10,Mano del Mago,Oggetto Minore Inferiore Slot Collo,Collo,900 mo,1 kg,Manuale di Gioco
11-18,Emblema del Recupero,Oggetto Minore Inferiore Slot Collo,Collo,900 mo,-,Guida all'Equipaggiamento
-,Talismano Minore della LibertÃ,Oggetto Minore Inferiore Slot Collo,Collo,900 mo,"0,5 kg",Avventure Occulte
-,Collare Crudele,Oggetto Minore Inferiore Slot Collo,Collo,1.000 mo,1 kg,Guida alle Classi
-,Talismano Minore della Protezione dalle Fiamme,Oggetto Minore Inferiore Slot Collo,Collo,1.250 mo,"0,5 kg",Avventure Occulte
19-25,Amuleto di Protezione dai Proiettili +1,Oggetto Minore Inferiore Slot Collo,Collo,1.500 mo,-,Guida al Combattimento
26-37,Fermaglio dello Scudo,Oggetto Minore Inferiore Slot Collo,Collo,1.500 mo,-,Manuale di Gioco
38-49,Collana delle Palle di Fuoco (Tipo I),Oggetto Minore Inferiore Slot Collo,Collo,1.650 mo,"0,5 kg",Manuale di Gioco
-,Talismano Minore della Buona Fortuna,Oggetto Minore Inferiore Slot Collo,Collo,1.680 mo,"0,5 kg",Avventure Occulte
50-63,Amuleto dell'Armatura Naturale +1,Oggetto Minore Inferiore Slot Collo,Collo,2.000 mo,-,Manuale di Gioco
-,Fermaglio del Mimetismo,Oggetto Minore Inferiore Slot Collo,Collo,2.000 mo,-,Guida alle Razze
-,Talismano Minore del Potere di Guarigione,Oggetto Minore Inferiore Slot Collo,Collo,2.400 mo,"0,5 kg",Avventure Occulte
64-72,Scarabeo dell'Anatema dei Golem,Oggetto Minore Inferiore Slot Collo,Collo,2.500 mo,-,Manuale di Gioco
73-82,Collana delle Palle di Fuoco (Tipo II),Oggetto Minore Inferiore Slot Collo,Collo,2.700 mo,"0,5 kg",Manuale di Gioco
83-89,Fermaglio dell'Anatema degli Sciami,Oggetto Minore Inferiore Slot Collo,Collo,3.000 mo,"0,25 kg",Guida all'Equipaggiamento
90-95,Medaglione Sentinella Mentale,Oggetto Minore Inferiore Slot Collo,Collo,3.500 mo,-,Guida all'Equipaggiamento
96-100,Gorgiera del Guitto,Oggetto Minore Inferiore Slot Collo,Collo,3.500 mo,-,Guida all'Equipaggiamento
-,Talismano Minore del Soffio di Vita,Oggetto Minore Inferiore Slot Collo,Collo,3.500 mo,"0,5 kg",Avventure Occulte
d%,Oggetto Minore Superiore,Prezzo,Peso,Fonte,,
01-08,Amuleto del Conflitto Elementale,Oggetto Minore Superiore Slot Collo,Collo,4.000 mo,"0,5 kg",Guida all'Equipaggiamento
09-15,Amuleto del Pugno del Giusto,Oggetto Minore Superiore Slot Collo,Collo,4.000 mo,"0,25 kg",Guida all'Equipaggiamento
16-26,Amuleto dei Pugni Potenti +1,Oggetto Minore Superiore Slot Collo,Collo,4.000 mo,-,Manuale di Gioco
27-36,Collana delle Palle di Fuoco (Tipo III),Oggetto Minore Superiore Slot Collo,Collo,4.350 mo,"0,5 kg",Manuale di Gioco
-,Talismano Superiore del Coraggio del Combattente,Oggetto Minore Inferiore Slot Collo,Collo,4.500 mo,"0,5 kg",Avventure Occulte
-,Talismano Superiore delle Evocazioni Sigillate,Oggetto Minore Inferiore Slot Collo,Collo,4.500 mo,"0,5 kg",Avventure Occulte
-,Amuleto della Difesa Prodigiosa,Oggetto Minore Superiore Slot Collo,Collo,5.000 mo,-,Guida alle Classi
37-47,Collana delle Palle di Fuoco (Tipo IV),Oggetto Minore Superiore Slot Collo,Collo,5.400 mo,"0,5 kg",Manuale di Gioco
48-55,Richiamatempeste,Oggetto Minore Superiore Slot Collo,Collo,5.400 mo,-,Guida all'Equipaggiamento
56-66,Collana delle Palle di Fuoco (Tipo V),Oggetto Minore Superiore Slot Collo,Collo,5.850 mo,"0,5 kg",Manuale di Gioco
67-73,Amuleto di Protezione dai Proiettili +2,Oggetto Minore Superiore Slot Collo,Collo,6.000 mo,-,Guida al Combattimento
74-81,Collana del Figlio Fatato,Oggetto Minore Superiore Slot Collo,Collo,6.000 mo,"0,25 kg",Guida all'Equipaggiamento
-,Talismano Superiore della Protezione delle Frecce,Oggetto Minore Inferiore Slot Collo,Collo,6.000 mo,"0,5 kg",Avventure Occulte
-,Torque della Canzone Primeva,Oggetto Minore Superiore Slot Collo,Collo,6.000 mo,2 kg,Guida alle Classi
82-89,Catena della Detenzione,Oggetto Minore Superiore Slot Collo,Collo,7.200 mo,-,Guida all'Equipaggiamento
90-100,Talismano della Salute,Oggetto Minore Superiore Slot Collo,Collo,7.400 mo,-,Manuale di Gioco
-,Talismano Superiore della Percezione del Pericolo,Oggetto Minore Inferiore Slot Collo,Collo,7.500 mo,"0,5 kg",Avventure Occulte
d%,Oggetto Medio Inferiore,Prezzo,Peso,Fonte,,
01-08,Amuleto dell'Armatura Naturale +2,Oggetto Medio Inferiore Slot Collo,Collo,8.000 mo,-,Manuale di Gioco
09-12,Amuleto Anti-pietrificazione,Oggetto Medio Inferiore Slot Collo,Collo,8.000 mo,-,Guida all'Equipaggiamento
13-15,Amuleto Semprevigile,Oggetto Medio Inferiore Slot Collo,Collo,8.000 mo,"0,5 kg",Guida all'Equipaggiamento
16-18,Pendente del Guardiano delle Tombe,Oggetto Medio Inferiore Slot Collo,Collo,8.000 mo,"0,5 kg",Guida all'Equipaggiamento
19-23,Mano della Gloria,Oggetto Medio Inferiore Slot Collo,Collo,8.000 mo,1 kg,Manuale di Gioco
24-26,Collare della Furia del Cuor di Leone,Oggetto Medio Inferiore Slot Collo,Collo,8.000 mo,"0,5 kg",Guida del Giocatore
-,Amuleto degli Spiriti  (  Cieli  ),Oggetto Medio Inferiore Slot Collo,Collo,8.000 mo,"0,5 kg",Guida alle Classi
-,Torque dell'Ira Sanguinosa,Oggetto Medio Inferiore Slot Collo,Collo,8.000 mo,"0,5 kg",Guida alle Classi
-,Amuleto degli Spiriti  (  Vento  ),Oggetto Medio Inferiore Slot Collo,Collo,8.000 mo,"0,5 kg",Guida alle Classi
27-33,Collana delle Palle di Fuoco (Tipo VI),Oggetto Minore Inferiore Slot Collo,Collo,8.100 mo,"0,5 kg",Manuale di Gioco
34-40,Collana delle Palle di Fuoco (Tipo VII),Oggetto Minore Inferiore Slot Collo,Collo,8.700 mo,"0,5 kg",Manuale di Gioco
41-43,Amuleto della Forza Nascosta,Oggetto Medio Inferiore Slot Collo,Collo,9.000 mo,-,Guida all'Equipaggiamento
44-47,Collana dell'Adattamento,Oggetto Medio Inferiore Slot Collo,Collo,9.000 mo,"0,5 kg",Manuale di Gioco
-,Amuleto del Dente di Squalo,Oggetto Medio Inferiore Slot Collo,Collo,9.000 mo,-,Guida alle Razze
-,Amuleto del Progenitore Oscuro,Oggetto Medio Inferiore Slot Collo,Collo,9.000 mo,"0,5 kg",Guida alle Razze
-,Amuleto della Luce Nascosta,Oggetto Medio Inferiore Slot Collo,Collo,9.000 mo,-,Guida alle Razze
-,Talismano Superiore della LibertÃ,Oggetto Medio Inferiore Slot Collo,Collo,9.000 mo,"0,5 kg",Avventure Occulte
48-51,Amuleto dell'Astuzia Magica,Oggetto Medio Inferiore Slot Collo,Collo,10.000 mo,"0,5 kg",Guida del Giocatore
52-54,Collare del Vero Compagno,Oggetto Medio Inferiore Slot Collo,Collo,10.000 mo,"0,5 kg",Guida all'Equipaggiamento
55-58,Amuleto del Pugno del Gelo,Oggetto Medio Inferiore Slot Collo,Collo,10.000 mo,"0,5 kg",Guida all'Equipaggiamento
-,Amuleto degli Spiriti  (  Fiamma  ),Oggetto Medio Inferiore Slot Collo,Collo,10.000 mo,"0,5 kg",Guida alle Classi
-,Amuleto degli Spiriti  (  Onde  ),Oggetto Medio Inferiore Slot Collo,Collo,10.000 mo,"0,5 kg",Guida alle Classi
-,Amuleto degli Spiriti  (  Pietra  ),Oggetto Medio Inferiore Slot Collo,Collo,10.000 mo,"0,5 kg",Guida alle Classi
-,Amuleto della Stirpe  (  Eletta  ),Oggetto Medio Inferiore Slot Collo,Collo,10.000 mo,"0,5 kg",Guida alle Classi
-,Amuleto della Stirpe  (  Fatata  ),Oggetto Medio Inferiore Slot Collo,Collo,10.000 mo,"0,5 kg",Guida alle Classi
-,Simbolo Sacro Dorato,Oggetto Medio Inferiore Slot Collo,Collo,10.000 mo,"0,5 kg",Avventure Mitiche
59-63,Cristallo delle Mani Curative,Oggetto Medio Inferiore Slot Collo,Collo,12.000 mo,"0,5 kg",Guida del Giocatore
64-66,Gorgiera Guardiana,Oggetto Medio Inferiore Slot Collo,Collo,12.000 mo,"0,5 kg",Guida all'Equipaggiamento
67-73,Medaglione dei Pensieri,Oggetto Medio Inferiore Slot Collo,Collo,12.000 mo,"0,5 kg",Manuale di Gioco
74-77,Talismano della Protezione dalle Maledizioni,Oggetto Medio Inferiore Slot Collo,Collo,12.000 mo,-,Guida all'Equipaggiamento
-,Amuleto degli Spiriti  (  Battaglia  ),Oggetto Medio Inferiore Slot Collo,Collo,12.000 mo,"0,5 kg",Guida alle Classi
