d%,Oggetto Minore Inferiore,Prezzo,Peso,Fonte,Unnamed: 5,Unnamed: 6
01-20,Tunica dello Spago Infinito,Oggetto Minore Inferiore Slot Corpo,Corpo,1.000 mo,"0,5 kg",Guida all'Equipaggiamento
21-35,Tunica degli Aghi,Oggetto Minore Inferiore Slot Corpo,Corpo,1.000 mo,2 kg,Guida all'Equipaggiamento
36-60,Tunica delle Ossa,Oggetto Minore Inferiore Slot Corpo,Corpo,2.400 mo,"0,5 kg",Manuale di Gioco
61-70,Fasciatura dei Colpi Potenti +1,Oggetto Minore Inferiore Slot Corpo,Corpo,3.000 mo,2 kg,Guida all'Equipaggiamento
71-80,Corsetto del Vishkanya,Oggetto Minore Inferiore Slot Corpo,Corpo,3.000 mo,"0,5 kg",Guida alle Razze
81-100,Veste del Druido,Oggetto Minore Inferiore Slot Corpo,Corpo,3.750 mo,-,Manuale di Gioco
d%,Oggetto Minore Superiore,Prezzo,Peso,Fonte,,
01-15,Abito Talare del Clero,Oggetto Minore Superiore Slot Corpo,Corpo,4.600 mo,"0,5 kg",Guida all'Equipaggiamento
16-30,Veste Mnemonica,Oggetto Minore Superiore Slot Corpo,Corpo,5.000 mo,"0,5 kg",Guida all'Equipaggiamento
31-45,Tunica dei Componenti,Oggetto Minore Superiore Slot Corpo,Corpo,5.000 mo,"0,5 kg",Guida all'Equipaggiamento
46-60,Tunica dello Stregone,Oggetto Minore Superiore Slot Corpo,Corpo,5.000 mo,"0,5 kg",Guida all'Equipaggiamento
-,Veste Vivente,Oggetto Minore Superiore Slot Corpo,Corpo,5.000 mo,1 kg,Guida alle Razze
61-75,Finimenti Ancora Eidolon,Oggetto Minore Superiore Slot Corpo,Corpo,6.000 mo,"0,5 kg",Guida all'Equipaggiamento
76-100,Tunica degli Oggetti Utili,Oggetto Minore Superiore Slot Corpo,Corpo,7.000 mo,"0,5 kg",Manuale di Gioco
d%,Oggetto Medio Inferiore,Prezzo,Peso,Fonte,,
01-15,Tunica del Mimetismo,Oggetto Medio Inferiore Slot Corpo,Corpo,8.400 mo,"0,5 kg",Manuale di Gioco
16-26,Tunica Fiammante,Oggetto Medio Inferiore Slot Corpo,Corpo,11.000 mo,"0,5 kg",Guida all'Equipaggiamento
27-37,Tunica Folgorante,Oggetto Medio Inferiore Slot Corpo,Corpo,11.000 mo,"0,5 kg",Guida all'Equipaggiamento
38-48,Tunica del Gelo Siderale,Oggetto Medio Inferiore Slot Corpo,Corpo,11.000 mo,"0,5 kg",Guida all'Equipaggiamento
49-59,Fasciatura dei Colpi Potenti +2,Oggetto Medio Inferiore Slot Corpo,Corpo,12.000 mo,"0,5 kg",Guida all'Equipaggiamento
60-75,Tunica del Monaco,Oggetto Medio Inferiore Slot Corpo,Corpo,13.000 mo,"0,5 kg",Manuale di Gioco
-,Veste del Predatore,Oggetto Medio Inferiore Slot Corpo,Corpo,15.000 mo,"2,5 kg",Guida alle Classi
76-100,Vesti dell'EreditÃ Arcana,Oggetto Medio Inferiore Slot Corpo,Corpo,16.000 mo,"0,5 kg",Guida del Giocatore
d%,Oggetto Medio Superiore,Prezzo,Peso,Fonte,,
01-25,Tunica dello Xorn,Oggetto Medio Superiore Slot Corpo,Corpo,20.000 mo,"0,5 kg",Guida all'Equipaggiamento
26-52,Corsetto della Fattura Crudele,Oggetto Medio Superiore Slot Corpo,Corpo,22.000 mo,"0,5 kg",Guida all'Equipaggiamento
53-76,Fasciatura dei Colpi Potenti +3,Oggetto Medio Superiore Slot Corpo,Corpo,27.000 mo,"0,5 kg",Guida all'Equipaggiamento
77-100,Tunica dei Colori Scintillanti,Oggetto Medio Superiore Slot Corpo,Corpo,27.000 mo,"0,5 kg",Manuale di Gioco
d%,Oggetto Maggiore Inferiore,Prezzo,Peso,Fonte,,
01-40,Spolverino del Pistolero,Oggetto Maggiore Inferiore Slot Corpo,Corpo,36.000 mo,"2,5 kg",Guida all'Equipaggiamento
41-80,Fasciatura dei Colpi Potenti +4,Oggetto Maggiore Inferiore Slot Corpo,Corpo,48.000 mo,"0,5 kg",Guida all'Equipaggiamento
81-100,Tunica Pieghevole del Contrabbandiere,Oggetto Maggiore Inferiore Slot Corpo,Corpo,48.000 mo,"0,5 kg",Guida all'Equipaggiamento
d%,Oggetto Maggiore Superiore,Prezzo,Peso,Fonte,,
01-10,Tunica delle Stelle,Oggetto Maggiore Superiore Slot Corpo,Corpo,58.000 mo,"0,5 kg",Manuale di Gioco
11-15,Tunica dei Portali,Oggetto Maggiore Superiore Slot Corpo,Corpo,64.000 mo,"0,5 kg",Guida all'Equipaggiamento
