d%,Oggetto Minore Inferiore,Prezzo,Peso,Fonte,Unnamed: 5,Unnamed: 6
01-60,Filatterio della FedeltÃ,Oggetto Minore Inferiore Slot Fronte,Fronte,1.000 mo,-,Manuale di Gioco
61-100,Fascia dell'Uomo Morto,Oggetto Minore Inferiore Slot Fronte,Fronte,3.600 mo,"0,5 kg",Guida all'Equipaggiamento
d%,Oggetto Minore Superiore,Prezzo,Peso,Fonte,,
01-09,Fascia della Seduzione +2,Oggetto Minore Superiore Slot Fronte,Fronte,4.000 mo,"0,5 kg",Manuale di Gioco
10-18,Fascia dell'Ispirazione +2,Oggetto Minore Superiore Slot Fronte,Fronte,4.000 mo,"0,5 kg",Manuale di Gioco
19-27,Fascia della Sapienza +2,Oggetto Minore Superiore Slot Fronte,Fronte,4.000 mo,"0,5 kg",Manuale di Gioco
28-33,Fascia dell'AgilitÃ Aerea +2,Oggetto Minore Superiore Slot Fronte,Fronte,4.500 mo,-,Guida all'Equipaggiamento
34-39,Fascia del Cambiaforma +2,Oggetto Minore Superiore Slot Fronte,Fronte,4.500 mo,-,Guida all'Equipaggiamento
-,Fascia del Lupo,Oggetto Minore Superiore Slot Fronte,Fronte,5.000 mo,"0,25 kg",Guida alle Classi
40-45,Fascia della Memoria Poderosa,Oggetto Minore Superiore Slot Fronte,Fronte,5.100 mo,"0,5 kg",Guida all'Equipaggiamento
46-51,Fascia Focalizza Ki,Oggetto Minore Superiore Slot Fronte,Fronte,5.400 mo,"0,5 kg",Guida all'Equipaggiamento
52-58,Fascia della Risolutezza Irremovibile,Oggetto Minore Superiore Slot Fronte,Fronte,5.600 mo,"0,5 kg",Guida all'Equipaggiamento
59-66,Coroncina di Agrifoglio,Oggetto Minore Superiore Slot Fronte,Fronte,5.700 mo,"0,5 kg",Guida all'Equipaggiamento
67-74,Fascia della Devozione Eterna,Oggetto Minore Superiore Slot Fronte,Fronte,6.400 mo,"0,5 kg",Guida all'Equipaggiamento
75-82,Filatterio del Pastore,Oggetto Minore Superiore Slot Fronte,Fronte,7.000 mo,"0,5 kg",Guida all'Equipaggiamento
83-91,Fascia dell'Intuizione,Oggetto Minore Superiore Slot Fronte,Fronte,7.000 mo,"0,5 kg",Guida all'Equipaggiamento
92-100,Fascia del Favore della Sorte,Oggetto Minore Superiore Slot Fronte,Fronte,7.700 mo,"0,5 kg",Guida all'Equipaggiamento
d%,Oggetto Medio Inferiore,Prezzo,Peso,Fonte,,
01-06,Fascia della Furia,Oggetto Medio Inferiore Slot Fronte,Fronte,8.000 mo,"0,5 kg",Guida all'Equipaggiamento
07-12,Fascia del Serpente,Oggetto Medio Inferiore Slot Fronte,Fronte,9.000 mo,"0,5 kg",Guida all'Equipaggiamento
13-20,Fascia della Prodezza Mentale +2,Oggetto Medio Inferiore Slot Fronte,Fronte,10.000 mo,"0,5 kg",Manuale di Gioco
21-26,Fascia del Cacciatore,Oggetto Medio Inferiore Slot Fronte,Fronte,11.000 mo,"0,5 kg",Guida all'Equipaggiamento
27-34,Filatterio dell'Energia Negativa,Oggetto Medio Inferiore Slot Fronte,Fronte,11.000 mo,"0,5 kg",Manuale di Gioco
35-42,Filatterio dell'Energia Positiva,Oggetto Medio Inferiore Slot Fronte,Fronte,11.000 mo,"0,5 kg",Manuale di Gioco
43-48,Occhio Velato,Oggetto Medio Inferiore Slot Fronte,Fronte,12.000 mo,-,Guida all'Equipaggiamento
49-54,Fascia del Combattente Determinato,Oggetto Medio Inferiore Slot Fronte,Fronte,14.000 mo,"0,5 kg",Guida all'Equipaggiamento
55-60,Fascia del Ninjitsu,Oggetto Medio Inferiore Slot Fronte,Fronte,15.000 mo,"0,5 kg",Guida all'Equipaggiamento
