d%,Oggetto Minore Inferiore,Prezzo,Peso,Fonte,Unnamed: 5,Unnamed: 6
01-18,Lenti della Visione della Morte,Oggetto Minore Inferiore Slot Occhi,Occhi,2.000 mo,-,Guida all'Equipaggiamento
19-38,Lenti dell'Aquila,Oggetto Minore Inferiore Slot Occhi,Occhi,2.500 mo,-,Manuale di Gioco
39-58,Occhiali della Visione Dettagliata,Oggetto Minore Inferiore Slot Occhi,Occhi,2.500 mo,-,Manuale di Gioco
59-72,Benda del Pirata,Oggetto Minore Inferiore Slot Occhi,Occhi,2.600 mo,-,Guida all'Equipaggiamento
73-87,Occhiali della Comprensione,Oggetto Minore Inferiore Slot Occhi,Occhi,3.000 mo,-,Guida all'Equipaggiamento
88-100,Lente dell'Individuazione,Oggetto Minore Inferiore Slot Occhi,Occhi,3.500 mo,"0,5 kg",Manuale di Gioco
d%,Oggetto Minore Superiore,Prezzo,Peso,Fonte,,
01-20,Lenti del Gufo,Oggetto Minore Superiore Slot Occhi,Occhi,4.000 mo,-,Guida all'Equipaggiamento
-,Occhiali del Cerusico,Oggetto Minore Superiore Slot Occhi,Occhi,4.900 mo,-,Guida alle Classi
21-44,Lenti della Vista Acuta,Oggetto Minore Superiore Slot Occhi,Occhi,6.000 mo,-,Guida all'Equipaggiamento
45-66,Occhiali del Cacciatore di Tesori,Oggetto Minore Superiore Slot Occhi,Occhi,6.400 mo,-,Guida all'Equipaggiamento
67-84,Monocolo dell'Inquisitore,Oggetto Minore Superiore Slot Occhi,Occhi,6.800 mo,-,Guida all'Equipaggiamento
85-100,Occhiali della Vista Gemella,Oggetto Minore Superiore Slot Occhi,Occhi,7.500 mo,-,Guida all'Equipaggiamento
d%,Oggetto Medio Inferiore,Prezzo,Peso,Fonte,,
-,Lenti dello Sguardo del Predatore,Oggetto Medio Inferiore Slot Occhi,Occhi,8.000 mo,-,Guida alle Classi
01-16,Occhiali Elfici,Oggetto Medio Inferiore Slot Occhi,Occhi,8.500 mo,-,Guida all'Equipaggiamento
17-31,Occhiali della Luce Brillante,Oggetto Medio Inferiore Slot Occhi,Occhi,8.800 mo,-,Guida all'Equipaggiamento
32-48,Benda del Cieco,Oggetto Medio Inferiore Slot Occhi,Occhi,12.000 mo,-,Guida all'Equipaggiamento
49-67,Occhiali della Notte,Oggetto Medio Inferiore Slot Occhi,Occhi,12.000 mo,-,Manuale di Gioco
68-82,Lenti Penetra Finzioni,Oggetto Medio Inferiore Slot Occhi,Occhi,12.000 mo,-,Guida all'Equipaggiamento
-,Lenti dell'OscuritÃ,Oggetto Medio Inferiore Slot Occhi,Occhi,12.000 mo,-,Guida alle Razze
-,Monocolo delle Aure Rivelate,Oggetto Medio Inferiore Slot Occhi,Occhi,12.700 mo,-,Avventure Mitiche
83-100,Occhiali dell'Aracnide,Oggetto Medio Inferiore Slot Occhi,Occhi,15.000 mo,1 kg,Guida all'Equipaggiamento
d%,Oggetto Medio Superiore,Prezzo,Peso,Fonte,,
-,Occhiali del Sabotatore,Oggetto Medio Superiore Slot Occhi,Occhi,16.000 mo,-,Guida alle Classi
01-21,Occhiali delle Lande Tenebrose,Oggetto Medio Superiore Slot Occhi,Occhi,20.000 mo,-,Guida all'Equipaggiamento
22-40,Occhiali del Cecchino,Oggetto Medio Superiore Slot Occhi,Occhi,20.000 mo,"0,5 kg",Guida del Giocatore
41-58,Lenti Iridescenti,Oggetto Medio Superiore Slot Occhi,Occhi,21.000 mo,-,Guida all'Equipaggiamento
59-77,Occhiali dell'Annichilimento,Oggetto Medio Superiore Slot Occhi,Occhi,25.000 mo,"0,1 kg",Guida del Giocatore
78-100,Lenti della Devastazione,Oggetto Medio Superiore Slot Occhi,Occhi,25.000 mo,-,Manuale di Gioco
d%,Oggetto Maggiore Inferiore,Prezzo,Peso,Fonte,,
01-60,Lenti dello Sguardo Penetrante,Oggetto Maggiore Inferiore Slot Occhi,Occhi,30.000 mo,-,Guida all'Equipaggiamento
61-100,Occhiali del Cecchino Superiori,Oggetto Maggiore Inferiore Slot Occhi,Occhi,50.000 mo,"0,5 kg",Guida all'Equipaggiamento
d%,Oggetto Maggiore Superiore,Prezzo,Peso,Fonte,,
01-18,Lenti dello Charme,Oggetto Maggiore Superiore Slot Occhi,Occhi,56.000 mo,-,Manuale di Gioco
19-34,Monocolo dell'Investigatore,Oggetto Maggiore Superiore Slot Occhi,Occhi,66.000 mo,-,Guida all'Equipaggiamento
35-48,Benda del Tiranno del Mare,Oggetto Maggiore Superiore Slot Occhi,Occhi,70.000 mo,-,Guida all'Equipaggiamento
49-63,Benda dello Spadaccino,Oggetto Maggiore Superiore Slot Occhi,Occhi,80.000 mo,-,Guida all'Equipaggiamento
64-77,Lenti del Padrone della Mente,Oggetto Maggiore Superiore Slot Occhi,Occhi,95.000 mo,-,Guida all'Equipaggiamento
78-90,Lenti del Drago,Oggetto Maggiore Superiore Slot Occhi,Occhi,110.000 mo,-,Guida all'Equipaggiamento
91-100,Occhiali della Visione del Vero,Oggetto Maggiore Superiore Slot Occhi,Occhi,184.800 mo,-,Guida all'Equipaggiamento
