d%,Pergamena non comune,Prezzo,Fonte
01-04,Antipatia,3.000 mo,Manuale di Gioco
05-10,Pugno Serrato,3.000 mo,Manuale di Gioco
11-12,Clone,3.000 mo,Manuale di Gioco
13-15,Creare Semipiano,3.000 mo,Guida alla Magia
20-24,TranquillitÃ Euforica,3.000 mo,Guida del Giocatore
25-29,Aspetto Terrificante,3.000 mo,Guida al Combattimento
30-34,Forma di Gigante II,3.000 mo,Manuale di Gioco
35-38,Corpo di Ferro,3.000 mo,Manuale di Gioco
39-43,Momento di Prescienza,3.000 mo,Manuale di Gioco
44-47,Globo del Vuoto,3.000 mo,Guida alla Magia
48-52,Occhi Indagatori Superiore,3.000 mo,Manuale di Gioco
53-56,Schermo,3.000 mo,Manuale di Gioco
57-62,Ombra di una Invocazione Superiore,3.000 mo,Manuale di Gioco
63-66,Grido Superiore,3.000 mo,Manuale di Gioco
67-72,Dardi Tempestosi,3.000 mo,Guida del Giocatore
73-76,Esplosione Solare,3.000 mo,Manuale di Gioco
77-81,Anatomia Non Morta IV,3.000 mo,Guida alla Magia
82-87,Muro di Lava,3.000 mo,Guida del Giocatore
88-91,Creare Non Morti Superiori,3.150 mo,Manuale di Gioco
92-95,Simpatia,4.500 mo,Manuale di Gioco
96-98,Simbolo di Demenza,8.000 mo,Manuale di Gioco
99-100,Legame (Incatenato),13.000 mo,Manuale di Gioco
