d%,Pergamena comune,Prezzo,Fonte
01-04,Freccia Acida,150 mo,Manuale di Gioco
05-07,Alterare Se Stesso,150 mo,Manuale di Gioco
08-12,Resistenza dell'Orso,150 mo,Manuale di Gioco
13-15,Sfocatura,150 mo,Manuale di Gioco
16-20,Forza del Toro,150 mo,Manuale di Gioco
21-24,Grazia del Gatto,150 mo,Manuale di Gioco
25-27,OscuritÃ,150 mo,Manuale di Gioco
28-30,Scurovisione,150 mo,Manuale di Gioco
31-34,Splendore dell'Aquila,150 mo,Manuale di Gioco
35-37,Vita Falsata,150 mo,Manuale di Gioco
38-40,Sfera Infuocata,150 mo,Manuale di Gioco
41-44,Astuzia della Volpe,150 mo,Manuale di Gioco
45-47,Polvere Luccicante,150 mo,Manuale di Gioco
48-52,InvisibilitÃ,150 mo,Manuale di Gioco
53-54,Scassinare,150 mo,Manuale di Gioco
55-58,Levitazione,150 mo,Manuale di Gioco
59-61,Immagine Minore,150 mo,Manuale di Gioco
62-65,Immagine Speculare,150 mo,Manuale di Gioco
66-69,Saggezza del Gufo,150 mo,Manuale di Gioco
70-73,Resistere all'Energia,150 mo,Manuale di Gioco
74-75,Trucco della Corda,150 mo,Manuale di Gioco
76-80,Raggio Rovente,150 mo,Manuale di Gioco
81-83,Vedere InvisibilitÃ,150 mo,Manuale di Gioco
84-85,Frantumare,150 mo,Manuale di Gioco
86-88,Movimenti del Ragno,150 mo,Manuale di Gioco
89-91,Evoca Mostri II,150 mo,Manuale di Gioco
92-93,Evoca Sciame,150 mo,Manuale di Gioco
94-98,Ragnatela,150 mo,Manuale di Gioco
99-100,Vento Sussurrante,150 mo,Manuale di Gioco
