d%,Pergamena non comune,Prezzo,'  Fonte
01-03,Conferire Competenza nelle Armi,150 mo,Guida al Combattimento
04-06,CecitÃ /SorditÃ,150 mo,Manuale di Gioco
07-09,Sguardo Bruciante,150 mo,Guida del Giocatore
10-12,Presa Sicura,150 mo,Guida al Combattimento
13-14,Comandare Non Morti,150 mo,Manuale di Gioco
15-16,Creare Fossa,150 mo,Guida del Giocatore
17-20,Frastornare Mostri,150 mo,Manuale di Gioco
21-23,Individuazione dei Pensieri,150 mo,Manuale di Gioco
24-27,Camuffare Altri,150 mo,Guida alla Magia
28-31,Tocco Elementale,150 mo,Guida del Giocatore
32-34,Soffio di Fuoco,150 mo,Guida del Giocatore
35-38,Nube di Nebbia,150 mo,Manuale di Gioco
39-40,Tocco del Ghoul,150 mo,Manuale di Gioco
41,Planare,150 mo,Guida del Giocatore
42-44,Folata di Vento,150 mo,Manuale di Gioco
45-47,Foschia Infestante,150 mo,Guida alla Magia
48-51,Risata Incontenibile,150 mo,Manuale di Gioco
52-54,Trama Ipnotica,150 mo,Manuale di Gioco
55-57,Localizza Oggetto,150 mo,Manuale di Gioco
58-60,Rendere Integro,150 mo,Manuale di Gioco
61-62,Dissimulare,150 mo,Manuale di Gioco
63,Occulta Oggetto,150 mo,Manuale di Gioco
64-65,Veleno Pernicioso,150 mo,Guida alla Magia
66-67,Protezione dalle Frecce,150 mo,Manuale di Gioco
68-70,Pirotecnica,150 mo,Manuale di Gioco
71-73,Arma Ritornante,150 mo,Guida al Combattimento
74-77,Spaventare,150 mo,Manuale di Gioco
78-80,Ancora d'Ombra,150 mo,Guida alle Razze
81-83,Condividere Memoria,150 mo,Guida alla Magia
84-85,Risucchio,150 mo,Guida del Giocatore
86-88,Mano Spettrale,150 mo,Manuale di Gioco
89-90,Immolazione Spontanea,150 mo,Guida al Combattimento
91-93,Tocco di Idiozia,150 mo,Manuale di Gioco
94,Gelo Pungente,150 mo,Guida alla Magia
95-96,Bocca Magica,160 mo,Manuale di Gioco
97,Serratura Arcana,175 mo,Manuale di Gioco
98-99,Fiamma Perenne,200 mo,Manuale di Gioco
100,Trappola Fantasma,200 mo,Manuale di Gioco
